Issuer,Certificate,Workload (h),Conclusion,File,Keywords
Tera,Digital Marketing,8,2021-10-19,20211019_digital_marketing.pdf,marketing
Instituto Legislativo Potiguar,Segurança Eletrônica e Certificação Digital,8,2012-06-03,20120903_certificado-segurancaeletronica.pdf,security
Service Desk Brasil,Workshop Full Stack – FusionInventory + GLPI,8,2020-07-23,20200723_Workshop_Full_Stack_GLPI_FusionInventory.pdf,"GLPI, Fusion Inventory, Full Stack"
Escola da Assembleia,Produtividade no Serviço Público,8,2016-10-05,20161005-Produtividade-no-Servico-Publico.pdf,productivity
Escola da Assembleia,Noções de Direito Administrativo,8,2016-08-30,20160830-Nocoes-de-Direito-Administrativo.pdf,administrative law
Escola da Assembleia,Gestão e Fiscalizacao de Contratos Administrativos,8,2016-08-24,20160824-Gestao-e-Fiscalizacao-de-Contratos-Administrativos.pdf,administrative contracts
Escola da Assembleia,Negociação Gerencial,8,2016-08-23,20160823-Negociacao-Gerencial.pdf,negotiation
Escola da Assembleia,Anúncio em Redes Sociais,8,2016-08-13,20160813-Anuncio-em-Redes-Sociais.pdf,social media ad
Instituto do Legislativo Potiguar,Administração do Tempo,8,2015-09-29,20150928-Administracao-do-tempo.pdf,time management
Instituto do Legislativo Potiguar,Atualização em Direito Eleitoral,8,2012-09-08,20120908-atualizacao-direito-eleitoral.pdf,election law
Digital Innovation One,Fundamentos de Computação em Nuvem AWS,9,2023-10-16,20231016-Fundamentos_de_Computacao_em_Nuvem_AWS.pdf,"AWS, Cloud"
Grupo Voitto,Criatividade e Resolução de Problemas,9,2022-06-20,20220620_criatividade_e_resolucao_de_problemas.pdf,"creativity, problem solving"
Escola Conquer,Apresentações que conquistam,10,2023-11-06,20231106_escola_conquer-apresentacoes.pdf,"Communication, presentitions"
Alura,Administração do Oracle Database: Criação e Gerenciamento do Banco,10,2023-05-26,20230526_administracao-do-oracle-database-criacao-e-gerenciamento-do-banco.pdf,"oracle, database"
Escola Conquer,Comunicação e Oratória,10,2023-05-22,20230522_Conquer_comunicacao_oratoria.pdf,"Communication, oratory"
Escola Conquer,Produtividade Inteligente,10,2023-02-14,20230214_produtividade inteligente.pdf,productivity
Linuxtips,Linux Essentials,10,2022-12-13,20221213_linux-essentials.pdf,"linux, bash, shell script"
Escola Conquer,Formação em Liderança,10,2022-11-07,20221107_formacao_em_lideranca.pdf,leadership
Escola Conquer,Análise de Dados e Power BI,10,2022-07-21,20220721_analise_de_dados_e_power_bi.pdf,"Power BI, Data Analysis"
Escola Conquer,SQL a linguagem dos bancos de dados,10,2022-07-19,20220719_sql_escola_conquer.pdf,"sql, database"
Rocketseat,Semana OmniStack 11,10,2020-03-29,20200329-Semana-Omnistack-11.pdf,"Node.js, React"
GDG Natal,DevFest Nordeste 20219 Natal,10,2019-10-19,20191019-Devfest.pdf,"google, devfest, Nordeste"
SEBRAE,Startup Day,10,2019-05-18,20190518-Startup-Day.pdf,startup
ENAP,Criatividade e Novas Tecnologias no Serviço Público,10,2019-04-17,20190417-Criatividade-e-Novas-Tecnologias-no-Servico-Publico.pdf,"public management, creativity, new technologies"
Fundação Oswaldo Cruz,O que é Ciência Aberta,10,2019-03-20,20190320-o-que-e-ciencia-aberta.pdf,open science
Escola da Assembleia,Declaração de Docência – Word para Projetos Acadêmicos,10,2017-11-07,20171107-declaracao-de-docencia-word-para-projetos-academicos.pdf,"word, "
Escola da Assembleia,Declaração de Docência – Word para Projetos Acadêmicos,10,2017-10-31,20171031-declaracao-de-docencia-word-para-projetos-academicos.pdf,word
Escola da Assembleia,Declaração de Docência – Uso de Tablet e Smartphone,10,2016-06-08,20160608-Declaraca-de-Docencia-Uso-de-Tablet-e-Smartphone.pdf,digital inclusion
Escola da Assembleia,Declaração de Docência – Uso de Tablet e Smartphone,10,2016-04-04,20160404-Declaraca-de-Docencia-Uso-de-Tablet-e-Smartphone.pdf,digital inclusion
Alura,Desempenho do Oracle Database: Análise do Ambiente,12,2023-06-12,20230621_desempenho-do-oracle-database-analise-do-ambiente.pdf,"oracle, database"
Treinaweb,TreinaWeb Multi-stack #2,12,2021-10-17,20211020_Multi_Stack_2_edicao.pdf,"php, laravel"
FM2S,Kaizen - Processo de Melhoria Contínua,12,2021-10-04,20211004_Kaizen-Processo_de_Melhoria_Continua.pdf,"kaizen,continuous improvement"
UFPE,Java para internet usando Banco de Dados,12,1998-11-22,19981122_certificado-jornadajava-ufpe.pdf,"java,"
Fundação Bradesco,Fundamentos de Governança de TI,12,2019-03-28,20190328-Fundamentos-de-Governanca-de-TI.pdf,IT Governance
Escola da Assembleia,Oficinal em Elaboração de Projeto,12,2017-10-18,20171018-Oficina-em-Elaboracao-de-Projetos.pdf,project development
Escola da Assembleia,Oficina de Elaboração de Projetos,12,2017-08-23,20170823-Oficina-em-Elaboracao-de-Projetos.pdf,project development
Escola da Assembleia,Elaboração de Projetos,12,2016-08-03,20160803-Elaboracao-de-Projetos.pdf,project development
Alura,Desempenho do Oracle Database: Otimização de Consultas,14,2023-05-24,20230621_desempenho-do-oracle-database-otimizacao-de-consultas.pdf,"oracle, database"
Alura,Administração do Oracle Database: Segurança e Otimização do Banco,14,2023-05-31,20230531_administracao-do-oracle-database-seguranca-e-otimizacao-do-banco.pdf,"oracle, database"
SENAI,Tecnologia da Informação e Comunicação,14,2016-07-01,20160701-tecnologia-da-informacao-e-comunicacao.pdf,Information and communication technology
SENAI,Lógica de Programação,14,2016-07-01,20160701-Logica-de-programacao.pdf,Programming logic
Escola Conquer,Negociação e Influência,15,2022-07-25,20220725_negociacao_e_influencia.pdf,"negotiation, influence"
Escola Conquer,Inteligência Emocional 2.0,15,2022-04-25,20220425_Inteligencia_Emocional_2.pdf,emotional intelligence
Escola Conquer,Produtividade e Gestão do Tempo,15,2022-02-01,20220131_Produtividade_e_Gestao_do_Tempo.pdf,"productivity, time management"
Escola Conquer,Comunicação e Oratória,15,2021-08-31,20210831__COMUNICACAO_E_ORATORIA.pdf,"Communication, oratory"
UpInside,Git Workflow,15,2020-04-05,20200405-Git-Workflow.pdf,"git,workflow"
Grupo Voitto,Oratória de Alta Performance,16,2023-08-13,20230813-oratoria-de-alta-performance.pdf,"Communication, oratory"
Alura,Formação Shell Scripting,16,2022-12-08,20221208_shell-scripting.pdf,"shell script, bash, linux"
Rocketseat,DoWhile,16,2021-12-02,20211202_Rockseat_DoWhile.pdf,career
SENAI,Freehand 8,16,1999-07-02,19990702_certificado-freehand8-cti.pdf,Freehand
UFRN,Open Data Natal 2020,16,2020-03-06,20200306-Open-Data-Day-2020.pdf,Open Data
SEBRAE,D-Olho na Qualidade: 5Ss para os pequenos negócios,16,2016-04-04,20160404-de-olho-na-qualidade.pdf,5S
Instituto do Legislativo Potiguar,Protocolo,16,2015-09-14,20150914-protocolo.pdf,protocol
Escola de Governo,Elaboração de Projetos,16,2014-10-09,20141009-Elaboracao-de-projetos.pdf,project development
Grupo Voitto,Preparatório Agile Scrum Foundation EXIN,20,2023-01-26,20230214_preparatorio_agile-scrum-foundation-exin.pdf,"scrum,agile"
Linuxtips," Uncomplicating Docker",20,2022-06-12,20220612_Uncomplicating_Docker.pdf,docker
IFRS,Produção de Vídeos usando OBS Studio e Kdenlive,20,2021-07-05,20210705_Producao_de_Vídeos_usando_OBS_Studio_e_Kdenlive.pdf,"obs studio, kdenlive"
Escola da Assembleia,Declaração de Docência,20,2020-07-07,20200707-declaracao-de-docencia-excel.pdf,"Docência, Excel"
ENAP,Introdução à Interoperabilidade,20,2019-09-25,20190925-Introducao-a-Interoperabilidade.pdf,Interoperability
ENAP,Gestão de Riscos,20,2019-05-08,20190508-ENAP-Gestao-de-Riscos.pdf,risk management
Sociedade Brasileira de Administração Pública,IV Encontro Brasileiro de Administração Pública,20,2017-05-24,20170524-EBAP.pdf,"EBAP, SBAP"
ENAP,Elaboração de Plano de Dados Abertos,20,2016-11-16,20161116-Elaboracao-de-Plano-de-Dados-Abertos.pdf,open data
